portfolio_type,expected_return,volatility,sharpe,w_AAPL,w_AXISBANK.NS,w_DRREDDY.NS,w_GOOGL,w_HDFCBANK.NS,w_HINDUNILVR.NS,w_ICICIBANK.NS,w_INFY.NS,w_ITC.NS,w_JSWSTEEL.NS,w_KOTAKBANK.NS,w_LTTS.NS,w_MARUTI.NS,w_MSFT,w_NESTLEIND.NS,w_POWERGRID.NS,w_RELIANCE.NS,w_SHREECEM.NS,w_SUNPHARMA.NS,w_TATASTEEL.NS,w_TCS.NS,w_ULTRACEMCO.NS,w_WIPRO.NS
random,0.12097695388380951,0.12047730178799719,0.44110898701892043,0.06589020502019108,0.03986300158278324,0.001845946911174714,0.09251527752794642,0.01686973307429145,0.1087101624493655,0.033807201825428734,0.07568480718869834,0.03631799363242115,0.08972890988578018,0.014968511736556424,0.04382805406474801,0.06503058443901852,0.07480483782398421,0.07405363865843755,0.010144549717385862,0.004315656764527489,0.03030636954863085,0.0048178012837518745,0.028186859464854604,0.007571594394758201,0.06737987987711126,0.013358423128154199
random,0.11990333019114888,0.11934528308426406,0.43629706606042745,0.07230790066782225,0.03879698416988842,0.05286673897093003,0.06359890173926634,0.04257954629084309,0.05094542139912004,0.07385949059928686,0.013178679463504568,0.010600576222631324,0.05751814054445247,0.053721695194642136,0.014203418987319257,0.023099075773076218,0.05234121430607784,0.03776065479693244,0.06824549891021277,0.063943625949266,0.03720722603403989,0.05093650187191772,0.04914890098966982,0.007033160049138852,0.03250759624207328,0.033599050827888485
random,0.12333582051425179,0.12746333698478823,0.4354388367185325,0.06928970926739855,0.04180449080830589,0.007474542465459661,0.0669690023821781,0.0347100479552298,0.017724048238989525,0.053379684072671206,0.03721951549469574,0.007459647186143731,0.08379194357801507,0.02084092953240012,0.04352532212781546,0.05684133627629221,0.009803609082887925,0.06298486006961353,0.05522291563387843,0.04205914607339879,0.045004512207941855,0.08133190457880952,0.07759262862984852,0.009539028534673302,0.03141125155802264,0.044019924245330425
random,0.12382869436277812,0.12919349401354085,0.4334224525545838,0.02992790727741854,0.07988515998312577,0.007212447462800408,0.05250233515787621,0.052264109043241344,0.031101972068028595,0.09242691967766944,0.010185004957925238,0.012992569753287435,0.0613691902082673,0.04898976597302814,0.025191915745742335,0.028983524349995113,0.014957314297499866,0.0826591992522141,0.05424973434806917,0.023321809587001422,0.0374754421659227,0.0863666256786893,0.08447638822464659,0.006582783839800938,0.062306554553821725,0.014571326393928146
random,0.11921322544020949,0.11916674377056007,0.43115965479262763,0.09364059542164851,0.06448219130834108,0.03837898854181339,0.06802880966625827,0.031322562279775444,0.028108341002837697,0.09661310583380073,0.0466587391033857,0.031954546137755335,0.04772107536813486,0.10737082841182437,0.021084867173938118,0.021602768332666757,0.04125858314562982,0.007048802391968683,0.008737848012889342,0.0012804008172864225,0.017049380790795186,0.07468654593854379,0.022908617621758633,0.04406056154770459,0.08229039693801209,0.0037114442132311753
random,0.11937388793384665,0.11982929935967887,0.4301164646369962,0.08771690235212164,0.033864561401105484,0.005275392781587222,0.08962156457566309,0.07524792429877163,0.01988233595483661,0.0651370143632215,6.195454339650692e-05,0.0500725210852396,0.03257068922835088,0.03423090119819238,0.0219496671437439,0.024671870527154714,0.04081397735654266,0.02227509099314716,0.04187064326856544,0.05182643684823915,0.06383392526796967,0.060784939563800065,0.021722510254498187,0.003517909157802078,0.07474686849912526,0.07830439933692518
random,0.12093404545460364,0.12434467328192796,0.42704452647420243,0.03473744649488018,0.05624016650487122,0.055285733041891494,0.0808603965392381,0.00034863607343081475,0.009207286336548454,0.07112370136763838,0.05275502052293209,0.005650673884318409,0.08520910736946412,0.05879789433490789,0.04393499627156259,0.07047617881752971,0.05388099161577863,0.033746805043995666,0.026816413616173873,0.04099099183671346,0.04296323992475359,0.06436915010693474,0.04276042869330681,0.001658169237720839,0.06189385847826867,0.006292713887140197
random,0.11923946703182696,0.12045397660313457,0.426769917840603,0.057598256850387025,0.05848569699004282,0.054497877579452875,0.08595054956300639,0.045555600475918875,0.06562726494272011,0.06321931134081647,0.021173276189175954,0.02538864133711625,0.03799857446218384,0.024886084864422828,0.03286592690189874,0.03503619562680061,0.05411572453947408,0.019705592530770734,0.07207715086887909,0.039210111820867956,0.06329053611970184,0.0072985221616431025,0.04211626158686986,0.002528912157998036,0.06057212377843766,0.03080180731141459
random,0.11991119159770652,0.12553010496112757,0.41486349653336124,0.08180216728285346,0.07008148467117051,0.03590347686122502,0.07636376505558211,0.04146464029722561,0.061151907119684074,0.029758403425345078,0.01739347420839279,0.028001783097420338,0.0781768928968219,0.08841457470086081,0.023575245868977378,0.014771635099522054,0.006349700437666313,0.06733743107294701,0.04716537335017554,0.04967549414226272,0.004038210346185527,0.007240684501173631,0.08170173088921673,0.05151839298750453,0.019581363558629022,0.018532168129157634
random,0.1174867267778424,0.11991036958496307,0.41408756904320065,0.07497070346088601,0.04367544845927797,0.03798150944057975,0.07390215477356904,0.09653437213515394,0.07633153732549733,0.03335038202786676,0.0515113890656422,0.02193638977859287,0.0626591211063587,0.04067103421507407,0.023046959451026063,0.002130873277131358,0.09348013530346028,0.007962810464197802,0.03326821541777076,0.019240427155025972,0.04991880596014336,0.019694144365332903,0.07437512084088294,0.022712204297295525,0.018735609047934552,0.021910652631299862
